member_no,date,amount,source,reference,description
ILS24-F00011,2025-02-24,300000,mkoba,SHR-ILS24-F00011-0008,Historical share capital (Ilboru DETAILS)
ILS24-F00001,2024-03-04,170000,mkoba,SHR-ILS24-F00001-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00001,2024-03-10,170000,mkoba,SHR-ILS24-F00001-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00001,2024-03-19,100000,mkoba,SHR-ILS24-F00001-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00001,2024-12-29,400000,mkoba,SHR-ILS24-F00001-0004,Historical share capital (Ilboru DETAILS)
ILS24-F00040,2024-03-05,50000,mkoba,SHR-ILS24-F00040-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00040,2024-03-22,120000,mkoba,SHR-ILS24-F00040-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00040,2025-01-06,780000,mkoba,SHR-ILS24-F00040-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00056,2024-03-05,50000,mkoba,SHR-ILS24-F00056-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00057,2024-03-05,50000,mkoba,SHR-ILS24-F00057-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00037,2024-03-06,250000,mkoba,SHR-ILS24-F00037-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00037,2024-08-26,230000,mkoba,SHR-ILS24-F00037-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00037,2025-01-30,420000,mkoba,SHR-ILS24-F00037-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00059,2024-03-06,50000,mkoba,SHR-ILS24-F00059-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00043,2024-03-06,50000,mkoba,SHR-ILS24-F00043-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00043,2024-03-30,150000,mkoba,SHR-ILS24-F00043-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00043,2024-12-23,300000,mkoba,SHR-ILS24-F00043-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00043,2025-01-02,500000,mkoba,SHR-ILS24-F00043-0004,Historical share capital (Ilboru DETAILS)
ILS24-F00052,2024-03-06,50000,mkoba,SHR-ILS24-F00052-0001,Historical share capital (Ilboru DETAILS)
