date,amount,source,reference,description
2024-12-31,28245,utt,DIV-ILS24-F00003-01,DIVIDENT 1 UTT (Year 1)
2025-11-25,68101,utt,DIV-ILS24-F00003-02,DIVIDENT 2 UTT (Nov. 25)
2025-12-15,103866,loan,DIV-ILS24-F00003-03,DIVIDENT 3 (Loan 1)
2026-01-24,140817,utt,DIV-ILS24-F00003-04,DIVIDENT 4 UTT (Jan 24)
2026-02-28,387065,loan,DIV-ILS24-F00003-05,DIVIDENT 5 (Loan 2+3)
2026-04-15,220089,utt,DIV-ILS24-F00003-06,DIVIDENT 6 UTT (15 Apr 26)
2026-04-26,60650,loan,DIV-ILS24-F00003-07,LOAN 6+7 Apr 26 (250+500k)
2026-05-05,156030,utt,DIV-ILS24-F00003-08,DIV. 7 UTT 5th May 26
