date,amount,source,reference,description
2024-02-29,50000,mkoba,SHR-ILS24-F00003-0001,Historical share capital (Ilboru DETAILS)
2024-02-29,120000,mkoba,SHR-ILS24-F00003-0002,Historical share capital (Ilboru DETAILS)
2024-03-02,360000,mkoba,SHR-ILS24-F00003-0003,Historical share capital (Ilboru DETAILS)
2024-07-19,100000,mkoba,SHR-ILS24-F00003-0004,Historical share capital (Ilboru DETAILS)
2024-12-22,200000,mkoba,SHR-ILS24-F00003-0005,Historical share capital (Ilboru DETAILS)
2025-03-11,100000,nmb,SHR-ILS24-F00003-0006,Historical share capital (Ilboru DETAILS)
2025-03-12,100000,nmb,SHR-ILS24-F00003-0007,Historical share capital (Ilboru DETAILS)
