member_no,date,amount,source,reference,description
ILS24-F00013,2024-03-07,50000,mkoba,SAV-ILS24-F00013-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00013,2024-03-31,50000,mkoba,SAV-ILS24-F00013-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00013,2024-12-26,400000,mkoba,SAV-ILS24-F00013-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00013,2024-12-30,450000,mkoba,SAV-ILS24-F00013-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00013,2024-12-31,50000,mkoba,SAV-ILS24-F00013-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00013,2025-09-13,500000,nmb,SAV-ILS24-F00013-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00013,2025-10-27,500000,nmb,SAV-ILS24-F00013-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00013,2025-11-06,500000,nmb,SAV-ILS24-F00013-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00013,2026-01-30,200000,nmb,SAV-ILS24-F00013-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00013,2026-02-28,100000,nmb,SAV-ILS24-F00013-0010,Historical savings deposit (Ilboru workbook)
ILS24-F00013,2026-03-11,1000000,nmb,SAV-ILS24-F00013-0011,Historical savings deposit (Ilboru workbook)
ILS24-F00013,2026-04-19,1000000,nmb,SAV-ILS24-F00013-0012,Historical savings deposit (Ilboru workbook)
ILS24-F00013,2026-04-19,1000000,nmb,SAV-ILS24-F00013-0013,Historical savings deposit (Ilboru workbook)
ILS24-F00014,2024-03-03,120000,mkoba,SAV-ILS24-F00014-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00014,2024-03-03,500000,mkoba,SAV-ILS24-F00014-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00014,2024-03-12,100000,mkoba,SAV-ILS24-F00014-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00014,2024-08-25,80000,mkoba,SAV-ILS24-F00014-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00014,2024-12-26,200000,mkoba,SAV-ILS24-F00014-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00014,2025-09-12,1000000,mkoba,SAV-ILS24-F00014-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00014,2025-10-21,500000,nmb,SAV-ILS24-F00014-0007,Historical savings deposit (Ilboru workbook)
