member_no,date,amount,source,reference,description
ILS24-F00006,2024-03-01,10000,mkoba,SAV-ILS24-F00006-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2024-03-02,20000,mkoba,SAV-ILS24-F00006-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2024-03-02,120000,mkoba,SAV-ILS24-F00006-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2024-03-02,50000,mkoba,SAV-ILS24-F00006-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2024-03-03,50000,mkoba,SAV-ILS24-F00006-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2024-04-12,150000,mkoba,SAV-ILS24-F00006-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2024-07-13,100000,mkoba,SAV-ILS24-F00006-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2024-07-19,280000,mkoba,SAV-ILS24-F00006-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2024-07-23,20000,mkoba,SAV-ILS24-F00006-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2024-12-22,200000,mkoba,SAV-ILS24-F00006-0010,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2025-02-02,200000,mkoba,SAV-ILS24-F00006-0011,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2025-02-15,100000,mkoba,SAV-ILS24-F00006-0012,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2025-05-18,100000,mkoba,SAV-ILS24-F00006-0013,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2025-06-27,100000,mkoba,SAV-ILS24-F00006-0014,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2025-08-15,200000,nmb,SAV-ILS24-F00006-0015,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2025-09-11,300000,nmb,SAV-ILS24-F00006-0016,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2025-10-06,400000,nmb,SAV-ILS24-F00006-0017,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2025-10-06,200000,nmb,SAV-ILS24-F00006-0018,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2025-11-06,200000,nmb,SAV-ILS24-F00006-0019,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2025-11-06,200000,nmb,SAV-ILS24-F00006-0020,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2025-12-10,200000,nmb,SAV-ILS24-F00006-0021,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2026-01-04,500000,nmb,SAV-ILS24-F00006-0022,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2026-01-04,671957,nmb,SAV-ILS24-F00006-0023,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2026-03-02,936913,nmb,SAV-ILS24-F00006-0024,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2026-03-02,700000,nmb,SAV-ILS24-F00006-0025,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2026-03-02,151559,nmb,SAV-ILS24-F00006-0026,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2026-03-02,2500000,nmb,SAV-ILS24-F00006-0027,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2026-04-30,200000,nmb,SAV-ILS24-F00006-0028,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2026-05-23,900000,nmb,SAV-ILS24-F00006-0029,Historical savings deposit (Ilboru workbook)
ILS24-F00006,2026-05-28,966950,nmb,SAV-ILS24-F00006-0030,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2024-03-06,80000,mkoba,SAV-ILS24-F00007-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2024-03-07,170000,mkoba,SAV-ILS24-F00007-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2024-08-21,550000,mkoba,SAV-ILS24-F00007-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2024-12-22,200000,mkoba,SAV-ILS24-F00007-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2025-03-11,300000,nmb,SAV-ILS24-F00007-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2025-09-09,1000000,nmb,SAV-ILS24-F00007-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2025-10-07,200000,nmb,SAV-ILS24-F00007-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2025-11-11,270000,nmb,SAV-ILS24-F00007-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2025-12-07,1000000,nmb,SAV-ILS24-F00007-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2025-12-07,1195808,nmb,SAV-ILS24-F00007-0010,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2026-01-30,408395,nmb,SAV-ILS24-F00007-0011,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2026-02-19,423558,nmb,SAV-ILS24-F00007-0012,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2026-03-01,2000000,nmb,SAV-ILS24-F00007-0013,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2026-03-01,2000000,nmb,SAV-ILS24-F00007-0014,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2026-03-01,4803148,nmb,SAV-ILS24-F00007-0015,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2026-03-19,1000000,nmb,SAV-ILS24-F00007-0016,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2026-04-11,3000000,nmb,SAV-ILS24-F00007-0017,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2026-04-15,849791,nmb,SAV-ILS24-F00007-0018,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2026-05-01,2998649,nmb,SAV-ILS24-F00007-0019,Historical savings deposit (Ilboru workbook)
ILS24-F00007,2026-05-01,1892620,nmb,SAV-ILS24-F00007-0020,Historical savings deposit (Ilboru workbook)
ILS24-F00008,2024-02-26,1000,mkoba,SAV-ILS24-F00008-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00008,2024-03-01,70000,mkoba,SAV-ILS24-F00008-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00008,2024-03-04,70000,nmb,SAV-ILS24-F00008-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00008,2026-03-30,2000000,nmb,SAV-ILS24-F00008-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00008,2026-04-16,550000,nmb,SAV-ILS24-F00008-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00008,2026-05-06,250000,nmb,SAV-ILS24-F00008-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00009,2024-03-18,80000,mkoba,SAV-ILS24-F00009-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00009,2024-03-18,90000,mkoba,SAV-ILS24-F00009-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00009,2025-01-26,200000,mkoba,SAV-ILS24-F00009-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00009,2025-04-28,200000,nmb,SAV-ILS24-F00009-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00009,2025-08-15,200000,nmb,SAV-ILS24-F00009-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00009,2025-08-26,200000,nmb,SAV-ILS24-F00009-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00009,2025-08-30,200000,nmb,SAV-ILS24-F00009-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00009,2025-10-27,200000,nmb,SAV-ILS24-F00009-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00010,2024-03-04,170000,mkoba,SAV-ILS24-F00010-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00010,2024-03-04,170000,mkoba,SAV-ILS24-F00010-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00010,2024-08-26,460000,mkoba,SAV-ILS24-F00010-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00010,2025-02-02,200000,mkoba,SAV-ILS24-F00010-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00010,2025-09-12,1000000,nmb,SAV-ILS24-F00010-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00010,2025-10-24,1000000,nmb,SAV-ILS24-F00010-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00010,2026-03-03,2000000,nmb,SAV-ILS24-F00010-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00010,2026-03-03,2000000,nmb,SAV-ILS24-F00010-0008,Historical savings deposit (Ilboru workbook)
