member_no,date,amount,source,reference,description
ILS24-F00062,2026-03-12,3000000,nmb,SAV-ILS24-F00062-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00062,2026-03-12,300000,nmb,SAV-ILS24-F00062-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00062,2026-05-04,200000,nmb,SAV-ILS24-F00062-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00062,2026-05-16,510000,nmb,SAV-ILS24-F00062-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00063,2026-03-12,3000000,nmb,SAV-ILS24-F00063-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00063,2026-04-30,3000000,nmb,SAV-ILS24-F00063-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00064,2026-03-15,3000000,nmb,SAV-ILS24-F00064-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00064,2026-03-15,1000000,nmb,SAV-ILS24-F00064-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00064,2026-04-29,1000000,nmb,SAV-ILS24-F00064-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00065,2026-03-16,1200000,nmb,SAV-ILS24-F00065-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00065,2026-03-16,1800000,nmb,SAV-ILS24-F00065-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00065,2026-04-15,500000,nmb,SAV-ILS24-F00065-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00065,2026-04-16,300000,nmb,SAV-ILS24-F00065-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00065,2026-04-29,2200000,nmb,SAV-ILS24-F00065-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00065,2026-05-07,1037732,nmb,SAV-ILS24-F00065-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00066,2026-03-19,5000000,nmb,SAV-ILS24-F00066-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00066,2026-04-10,5000000,nmb,SAV-ILS24-F00066-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00067,2026-03-18,200000,nmb,SAV-ILS24-F00067-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00067,2026-03-18,300000,nmb,SAV-ILS24-F00067-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00067,2026-03-18,2600000,nmb,SAV-ILS24-F00067-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00067,2026-04-30,100000,nmb,SAV-ILS24-F00067-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00067,2026-05-29,150000,nmb,SAV-ILS24-F00067-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00068,2026-03-25,5000000,nmb,SAV-ILS24-F00068-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00068,2026-04-16,3000000,nmb,SAV-ILS24-F00068-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00068,2026-05-10,5907261,nmb,SAV-ILS24-F00068-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00069,2026-03-30,3000000,nmb,SAV-ILS24-F00069-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00069,2026-05-01,200000,nmb,SAV-ILS24-F00069-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00070,2026-03-31,3000000,nmb,SAV-ILS24-F00070-0001,Historical savings deposit (Ilboru workbook)
