member_no,date,amount,source,reference,description
ILS24-F00024,2024-03-12,170000,mkoba,SAV-ILS24-F00024-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2024-03-12,130000,mkoba,SAV-ILS24-F00024-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2024-08-20,220000,mkoba,SAV-ILS24-F00024-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2024-08-26,280000,mkoba,SAV-ILS24-F00024-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2025-01-02,200000,mkoba,SAV-ILS24-F00024-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2025-05-24,400000,nmb,SAV-ILS24-F00024-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2025-06-27,100000,nmb,SAV-ILS24-F00024-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2025-08-25,200000,nmb,SAV-ILS24-F00024-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2025-09-11,300000,nmb,SAV-ILS24-F00024-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2025-11-05,200000,nmb,SAV-ILS24-F00024-0010,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2025-11-05,200000,nmb,SAV-ILS24-F00024-0011,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2025-11-05,100000,nmb,SAV-ILS24-F00024-0012,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2025-12-06,100000,nmb,SAV-ILS24-F00024-0013,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2025-12-06,100000,nmb,SAV-ILS24-F00024-0014,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2026-01-30,400000,nmb,SAV-ILS24-F00024-0015,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2026-03-03,500000,nmb,SAV-ILS24-F00024-0016,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2026-03-03,540000,nmb,SAV-ILS24-F00024-0017,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2026-03-03,155000,nmb,SAV-ILS24-F00024-0018,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2026-03-03,644000,nmb,SAV-ILS24-F00024-0019,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2026-03-03,1000000,nmb,SAV-ILS24-F00024-0020,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2026-03-03,150000,nmb,SAV-ILS24-F00024-0021,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2026-04-11,300000,nmb,SAV-ILS24-F00024-0022,Historical savings deposit (Ilboru workbook)
ILS24-F00024,2026-04-11,300000,nmb,SAV-ILS24-F00024-0023,Historical savings deposit (Ilboru workbook)
ILS24-F00025,2024-04-02,30000,mkoba,SAV-ILS24-F00025-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00025,2024-04-02,170000,mkoba,SAV-ILS24-F00025-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00025,2024-12-31,800000,nmb,SAV-ILS24-F00025-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00025,2025-10-16,500000,nmb,SAV-ILS24-F00025-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00026,2025-09-28,1000000,nmb,SAV-ILS24-F00026-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00026,2025-09-28,900000,nmb,SAV-ILS24-F00026-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00027,2025-01-05,1000000,mkoba,SAV-ILS24-F00027-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00027,2025-11-29,1000000,nmb,SAV-ILS24-F00027-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00028,2024-03-03,100000,mkoba,SAV-ILS24-F00028-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00028,2024-03-10,100000,mkoba,SAV-ILS24-F00028-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00028,2024-04-29,50000,mkoba,SAV-ILS24-F00028-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00028,2024-07-23,100000,mkoba,SAV-ILS24-F00028-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00028,2024-08-17,650000,mkoba,SAV-ILS24-F00028-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00028,2025-03-26,200000,mkoba,SAV-ILS24-F00028-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00028,2025-09-28,500000,nmb,SAV-ILS24-F00028-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00028,2026-03-02,1500000,nmb,SAV-ILS24-F00028-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00028,2026-03-02,640000,nmb,SAV-ILS24-F00028-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00028,2026-04-25,1000000,nmb,SAV-ILS24-F00028-0010,Historical savings deposit (Ilboru workbook)
ILS24-F00028,2026-05-22,1500000,nmb,SAV-ILS24-F00028-0011,Historical savings deposit (Ilboru workbook)
ILS24-F00029,2024-12-23,800000,mkoba,SAV-ILS24-F00029-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00029,2024-12-29,200000,mkoba,SAV-ILS24-F00029-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00029,2025-01-30,200000,mkoba,SAV-ILS24-F00029-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00029,2025-06-08,200000,nmb,SAV-ILS24-F00029-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00029,2025-10-16,500000,nmb,SAV-ILS24-F00029-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00029,2025-12-04,500000,nmb,SAV-ILS24-F00029-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00029,2025-12-04,500000,nmb,SAV-ILS24-F00029-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00029,2026-02-06,200000,nmb,SAV-ILS24-F00029-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00029,2026-02-06,200000,nmb,SAV-ILS24-F00029-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00029,2026-03-03,400000,nmb,SAV-ILS24-F00029-0010,Historical savings deposit (Ilboru workbook)
ILS24-F00029,2026-03-03,400000,nmb,SAV-ILS24-F00029-0011,Historical savings deposit (Ilboru workbook)
ILS24-F00029,2026-03-03,300000,nmb,SAV-ILS24-F00029-0012,Historical savings deposit (Ilboru workbook)
ILS24-F00029,2026-05-08,5000000,nmb,SAV-ILS24-F00029-0013,Historical savings deposit (Ilboru workbook)
ILS24-F00029,2026-05-09,350000,nmb,SAV-ILS24-F00029-0014,Historical savings deposit (Ilboru workbook)
ILS24-F00029,2026-05-25,700000,nmb,SAV-ILS24-F00029-0015,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2025-01-12,1000000,mkoba,SAV-ILS24-F00030-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2025-03-12,200000,mkoba,SAV-ILS24-F00030-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2025-09-19,300000,nmb,SAV-ILS24-F00030-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2025-10-02,200000,nmb,SAV-ILS24-F00030-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2025-11-24,200000,nmb,SAV-ILS24-F00030-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2025-12-06,200000,nmb,SAV-ILS24-F00030-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2025-12-06,200000,nmb,SAV-ILS24-F00030-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-01-20,200000,nmb,SAV-ILS24-F00030-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-01-20,250000,nmb,SAV-ILS24-F00030-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-02-06,300000,nmb,SAV-ILS24-F00030-0010,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-02-06,200000,nmb,SAV-ILS24-F00030-0011,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-03-19,100000,nmb,SAV-ILS24-F00030-0012,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-03-27,200000,nmb,SAV-ILS24-F00030-0013,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-03-31,200000,nmb,SAV-ILS24-F00030-0014,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-04-01,200000,nmb,SAV-ILS24-F00030-0015,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-04-01,200000,nmb,SAV-ILS24-F00030-0016,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-04-02,200000,nmb,SAV-ILS24-F00030-0017,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-04-03,500000,nmb,SAV-ILS24-F00030-0018,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-04-04,200000,nmb,SAV-ILS24-F00030-0019,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-04-07,200000,nmb,SAV-ILS24-F00030-0020,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-04-21,1000000,nmb,SAV-ILS24-F00030-0021,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-05-02,3000000,nmb,SAV-ILS24-F00030-0022,Historical savings deposit (Ilboru workbook)
ILS24-F00030,2026-05-03,500000,nmb,SAV-ILS24-F00030-0023,Historical savings deposit (Ilboru workbook)
ILS24-F00031,2024-03-04,50000,mkoba,SAV-ILS24-F00031-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00031,2024-03-04,50000,mkoba,SAV-ILS24-F00031-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00031,2024-03-07,120000,mkoba,SAV-ILS24-F00031-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00031,2024-12-24,800000,mkoba,SAV-ILS24-F00031-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00031,2026-02-18,200000,mkoba,SAV-ILS24-F00031-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00031,2026-03-27,250000,nmb,SAV-ILS24-F00031-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00031,2026-04-01,250000,nmb,SAV-ILS24-F00031-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00031,2026-04-01,500000,nmb,SAV-ILS24-F00031-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00031,2026-04-01,860893,nmb,SAV-ILS24-F00031-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00032,2024-12-26,1000000,mkoba,SAV-ILS24-F00032-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00032,2025-03-13,200000,mkoba,SAV-ILS24-F00032-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00032,2026-05-13,2100000,nmb,SAV-ILS24-F00032-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00033,2024-03-30,50000,mkoba,SAV-ILS24-F00033-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00033,2024-04-01,10000,mkoba,SAV-ILS24-F00033-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00033,2024-04-26,10000,mkoba,SAV-ILS24-F00033-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00033,2024-08-25,150000,mkoba,SAV-ILS24-F00033-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00033,2024-12-05,580000,mkoba,SAV-ILS24-F00033-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00033,2024-12-26,200000,mkoba,SAV-ILS24-F00033-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00033,2025-10-27,500000,nmb,SAV-ILS24-F00033-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00033,2026-01-30,100000,nmb,SAV-ILS24-F00033-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00033,2026-03-26,500000,nmb,SAV-ILS24-F00033-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00033,2026-03-26,800000,nmb,SAV-ILS24-F00033-0010,Historical savings deposit (Ilboru workbook)
ILS24-F00033,2026-04-28,300000,nmb,SAV-ILS24-F00033-0011,Historical savings deposit (Ilboru workbook)
ILS24-F00034,2024-03-09,90000,mkoba,SAV-ILS24-F00034-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00034,2024-03-09,60000,mkoba,SAV-ILS24-F00034-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00034,2024-08-26,600000,mkoba,SAV-ILS24-F00034-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00034,2024-08-26,200000,mkoba,SAV-ILS24-F00034-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00034,2024-12-31,50000,mkoba,SAV-ILS24-F00034-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00034,2026-04-25,1000000,nmb,SAV-ILS24-F00034-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00035,2024-03-12,50000,mkoba,SAV-ILS24-F00035-0001,Historical savings deposit (Ilboru workbook)
